chunk,baseline_kl,current_kl,extension_kl,current_reduction_from_q2,extension_reduction_from_q2,incremental_reduction
0,0.36353026400689803,0.28751366434337955,0.31640033526456957,0.07601659966351848,0.047129928742328464,-0.028886670921190016
1,0.1569989389815693,0.1522058875102269,0.1494006546027589,0.004793051471342402,0.00759828437881041,0.0028052329074680082
2,0.2585829194664719,0.24686380135013708,0.24458686134497087,0.011719118116334803,0.01399605812150101,0.002276940005166206
3,0.19454249834996604,0.18797215467341066,0.18555639494240048,0.0065703436765553735,0.00898610340756556,0.0024157597310101864
4,0.277575952510926,0.23336250562634733,0.2320972028824072,0.04421344688457865,0.04547874962851878,0.0012653027439401276
5,0.17407175654634124,0.16899874769446868,0.17035780659329797,0.0050730088518725625,0.0037139499530432774,-0.001359058898829285
6,0.24554659966250053,0.2412485380380762,0.24325249679405095,0.0042980616244243375,0.0022941028684495823,-0.002003958755974755
7,0.25656843433454113,0.2352837515479353,0.23745855706973032,0.021284682786605835,0.01910987726481081,-0.0021748055217950257
8,0.17330775277774332,0.16819541413751143,0.16839754960603878,0.005112338640231889,0.004910203171704541,-0.00020213546852734798
9,0.2507512675587177,0.24959886033690373,0.24583493891478855,0.0011524072218139503,0.00491632864392913,0.0037639214221151795
10,0.18445258327050224,0.17853130210266774,0.17871407813869328,0.005921281167834497,0.0057385051318089575,-0.00018277603602553927
11,0.33133160558333785,0.3343855125550319,0.32804783237444346,-0.0030539069716940537,0.0032837732088943916,0.006337680180588445
12,0.2105168482868023,0.19537841050519741,0.18959616356120917,0.015138437781604897,0.020920684725593136,0.00578224694398824
13,0.23292236822164833,0.24222188641198,0.23655967254654525,-0.009299518190331674,-0.003637304324896923,0.005662213865434751
14,0.07847966933736138,0.07170301451731662,0.07353034314984966,0.006776654820044761,0.004949326187511718,-0.001827328632533043
15,0.1919330002828723,0.19238526514354384,0.1826449743119098,-0.0004522648606715418,0.00928802597096251,0.009740290831634052
16,0.23286738474705507,0.22557951315187863,0.22803661578320086,0.007287871595176437,0.004830768963854204,-0.0024571026313222333
17,0.23068347365211045,0.2147591444626746,0.21177604113749804,0.015924329189435843,0.01890743251461241,0.002983103325176567
18,0.23035796711014378,0.22004125956150275,0.21444115311735207,0.01031670754864103,0.015916813992791712,0.005600106444150682
19,0.20670902372027436,0.21467392407505523,0.20759623588639356,-0.007964900354780868,-0.0008872121661192001,0.007077688188661668
20,0.15808272707859972,0.14333619735765432,0.14655479528139242,0.014746529720945395,0.011527931797207291,-0.0032185979237381035
21,0.33880699568128747,0.33784176290519385,0.3330778545138264,0.0009652327760936164,0.005729141167461094,0.004763908391367477
22,0.09910950440190924,0.09383891719427617,0.09235721225582344,0.005270587207633071,0.006752292146085803,0.0014817049384527325
23,0.1585352474196245,0.15288862168034983,0.15205651213736496,0.005646625739274658,0.0064787352822595345,0.0008321095429848768
24,0.28452064835518187,0.2980600348313428,0.30240780164084363,-0.01353938647616093,-0.01788715328566176,-0.00434776680950083
25,0.35719314791744444,0.32506200857368106,0.32694796449874364,0.03213113934376338,0.030245183418700805,-0.0018859559250625768
26,0.18872221267323883,0.17288175036591139,0.16795306624142484,0.01584046230732744,0.02076914643181399,0.004928684124486549
27,0.22984442259702417,0.20164244781647409,0.1940106503547184,0.028201974780550088,0.03583377224230577,0.007631797461755685
28,0.18864885757174638,0.17561058346403852,0.17662273940911133,0.013038274107707859,0.012026118162635047,-0.0010121559450728124
29,0.24251428565808705,0.2372657216878401,0.24017853600283465,0.00524856397024695,0.002335749655252406,-0.002912814314994544
30,0.18357752966634477,0.1655036107600493,0.1636024045680339,0.018073918906295477,0.01997512509831087,0.0019012061920153922
31,0.17579468488988895,0.1667913581385085,0.16778371531316744,0.009003326751380436,0.00801096957672151,-0.0009923571746589255
